,Date,Open,High,Low,Close,Adjusted_close,Volume,macd_hist,exp11,exp22,exp50
0,2023-01-30,307.15,324.0,306.8,321.2,321.2,7574660,-1.4254235709639858,309.7579716366378,289.53212992022765,264.97655304349695
1,2023-01-23,311.8,324.35,304.9,308.3,308.3,12189078,-1.3287186506617417,307.67760284329927,286.99870031384586,262.6817184738437
2,2023-01-16,322.0,324.95,311.0,311.8,311.8,8531167,-0.06995745783498108,307.56443972389917,285.29459633895357,260.81974779930675
3,2023-01-09,330.0,331.9,315.25,320.8,320.8,13554014,1.2628836022080243,306.7943378555172,283.17416404606985,258.73892117887027
4,2023-01-02,324.3,339.95,315.4,327.75,327.75,25131702,2.0421873528047882,304.24785382924756,280.16409716975545,256.20581592086495
5,2022-12-26,306.5,329.5,305.1,324.3,324.3,11328649,2.0864889318342037,299.9747363436562,276.3572249433359,253.28564514212474
6,2022-12-19,323.85,330.5,306.7,308.15,308.15,15270352,2.0207579590815286,295.55196113341185,272.52180293880275,250.38710004588492
7,2022-12-12,316.0,326.55,313.65,323.05,323.05,15536760,3.085650692549894,293.26140861221404,269.67154717390696,248.02943066000265
8,2022-12-05,322.2,323.65,311.65,315.95,315.95,10144597,2.7112320667228325,287.84530108716206,265.4012709478195,244.96736660530888
9,2022-11-28,296.05,321.0,296.05,319.2,319.2,39974909,2.3229931506983377,282.7353558302824,261.35737262364506,242.07011626266845
10,2022-11-21,274.7,294.3,272.7,293.2,293.2,18337807,0.9012163248962466,276.10542052669734,256.7299624335367,238.92195774277735
11,2022-11-14,291.45,303.6,270.0,273.3,273.3,47185200,0.9360180526550472,272.997315167915,253.81235942821962,236.70652744656417
12,2022-11-07,289.8,302.15,288.75,290.3,290.3,13838485,2.674000205727623,272.9422815620814,252.2533481824772,235.21291632193413
13,2022-10-31,290.65,294.1,284.0,288.9,288.9,9898254,3.230283595667075,269.7863327551871,249.20961603707536,232.96446392691104
14,2022-10-24,285.0,291.75,278.8,289.2,289.2,7110732,3.7378729852881847,266.3111205288575,246.0343853200414,230.681380821887
15,2022-10-17,271.95,291.75,268.1,281.75,281.75,17214972,3.963975956708312,262.1495060795589,242.5811361456447,228.29286575339256
16,2022-10-10,267.5,279.0,263.5,271.1,271.1,10293723,4.524752886880872,258.5857799122059,239.44762703729626,226.11094190659225
17,2022-10-03,279.8,279.9,262.0,271.15,271.15,15519057,5.912818202382105,256.3104671689706,236.91543720027994,224.27465382114704
18,2022-09-26,283.0,283.1,267.25,278.7,278.7,16376038,7.431690898586238,253.6123702906016,234.17667217630233,222.3613743852755
19,2022-09-19,284.3,295.85,277.35,285.25,285.25,20590616,8.290092629238005,249.050983070711,230.61480595040652,220.06183864589897
